number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
11,Sodium,Na,"sodium, Na","/?so?di?m/, SOH-dee-?m",silvery white metallic,11,"group 1 (alkali metals), s-block",3,alkali metal,22.98976928(2),[Ne] 3s1,"2, 8, 1",,solid,"370.944 K (97.794 °C, 208.029 °F)","1156.090 K (882.940 °C, 1621.292 °F)",,0.927 g/cm3,,,"2573 K, 35 MPa (extrapolated)",2.60 kJ/mol,97.42 kJ/mol,28.230 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 554, 617, 697, 802, 946, 1153","+1, ?1 (a strongly basic oxide)",Pauling scale: 0.93,"1st: 495.8 kJ/mol, 2nd: 4562 kJ/mol, 3rd: 6910.3 kJ/mol, (more)",166±9 pm,227 pm,body-centered cubic (bcc),,142 W/(m·K),paramagnetic,7440-23-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 22Na, trace, 2.602 y, ?+??, 0.5454, 22Ne*, 1.27453(2), 22Ne, ???, –, 22Ne*, 1.27453(2), 22Ne, ?+, 1.8200, 22Ne, 23Na, 100%, 23Na is stable with 12 neutrons",554,,,0.968 g/cm3,empirical: 186 pm,3200 m/s (at 20 °C),71 µm/(m·K) (at 25 °C),47.7 n?·m (at 20 °C),10 GPa,3.3 GPa,6.3 GPa,0.5,0.69 MPa,,,,,,,,,,Humphry Davy (1807),,,,,,,,,,,
12,Magnesium,Mg,"magnesium, Mg","/mæ??ni?zi?m/, mag-NEE-zee-?m",shiny grey solid,12,"group 2 (alkaline earth metals), s-block",3,alkaline earth metal,24.305 (24.304–24.307),[Ne] 3s2,"2, 8, 2",,solid,"923 K (650 °C, 1202 °F)","1363 K (1091 °C, 1994 °F)",,1.584 g/cm3,,,,8.48 kJ/mol,128 kJ/mol,24.869 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 701, 773, 861, 971, 1132, 1361","+2, +1 (a strongly basic oxide)",Pauling scale: 1.31,"1st: 737.7 kJ/mol, 2nd: 1450.7 kJ/mol, 3rd: 7732.7 kJ/mol, (more)",141±7 pm,173 pm,hexagonal close-packed (hcp),,156 W/(m·K),paramagnetic,7439-95-4,Joseph Black (1755),,"iso, NA, half-life, DM, DE (MeV), DP, 24Mg, 79.0%, 24Mg is stable with 12 neutrons, 25Mg, 10.0%, 25Mg is stable with 13 neutrons, 26Mg, 11.0%, 26Mg is stable with 14 neutrons",701,"after Magnesia, Greece",Humphry Davy (1808),1.738 g/cm3,empirical: 160 pm,4940 m/s (at r.t.) (annealed),24.8 µm/(m·K) (at 25 °C),43.9 n?·m (at 20 °C),45 GPa,17 GPa,45 GPa,1–2.5,44–260 MPa,0.29,,,,,,,,,,,,,,,,,,,,
13,Aluminum,Al,"aluminium, Al","UK i/?ælj??m?ni?m/, AL-ew-MIN-ee-?m, US i/??lju?m?n?m/, ?-LEW-mi-n?m",silvery gray metallic,13,"group 13, p-block",3,"post-transition metal, sometimes considered a metalloid",26.9815385(7),[Ne] 3s2 3p1,"2, 8, 3",,solid,"933.47 K (660.32 °C, 1220.58 °F)","2743 K (2470 °C, 4478 °F)",,2.375 g/cm3,,,,10.71 kJ/mol,284 kJ/mol,24.20 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1482, 1632, 1817, 2054, 2364, 2790","+3, +2, +1, ?1, ?2 (an amphoteric oxide)",Pauling scale: 1.61,"1st: 577.5 kJ/mol, 2nd: 1816.7 kJ/mol, 3rd: 2744.8 kJ/mol, (more)",121±4 pm,184 pm,face-centered cubic (fcc),,237 W/(m·K),paramagnetic,7429-90-5,,Humphry Davy (1807),"iso, NA, half-life, DM, DE (MeV), DP, 26Al, trace, 7.17×105 y, ?+, 1.17, 26Mg, ?, –, 26Mg, ?, 1.8086, –, 27Al, 100%, 27Al is stable with 14 neutrons",1482,,Hans Christian Ørsted (1825),2.70 g/cm3,empirical: 143 pm,(rolled) 5000 m/s (at r.t.),23.1 µm/(m·K) (at 25 °C),28.2 n?·m (at 20 °C),70 GPa,26 GPa,76 GPa,2.75,160–550 MPa,0.35,160–350 MPa,,,,,,,Antoine Lavoisier (1787),,aluminum (US),,,,,,,,,,
14,Silicon,Si,"silicon, Si","/?s?l?k?n/ or /?s?l?k?n/, SIL-?-k?n or SIL-?-kon","crystalline, reflective with bluish-tinged faces",14,"group 14 (carbon group), p-block",3,metalloid,28.085 (28.084–28.086),[Ne] 3s2 3p2,"2, 8, 4",,solid,"1687 K (1414 °C, 2577 °F)","3538 K (3265 °C, 5909 °F)",,2.57 g/cm3,,,,50.21 kJ/mol,383 kJ/mol,19.789 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1908, 2102, 2339, 2636, 3021, 3537","4, 3, 2, 1 ?1, ?2, ?3, ?4 (an amphoteric oxide)",Pauling scale: 1.90,"1st: 786.5 kJ/mol, 2nd: 1577.1 kJ/mol, 3rd: 3231.6 kJ/mol, (more)",111 pm,210 pm,face-centered diamond-cubic,,149 W/(m·K),diamagnetic,7440-21-3,,Thomas Thomson (1817),"iso, NA, half-life, DM, DE (MeV), DP, 28Si, 92.2%, 28Si is stable with 14 neutrons, 29Si, 4.7%, 29Si is stable with 15 neutrons, 30Si, 3.1%, 30Si is stable with 16 neutrons, 31Si, trace, 2.62 h, ??, 1.495, 31P, 32Si, trace, 153 y, ??, 13.020, 32P",1908,"after Latin 'silex' or 'silicis', meaning flint",,2.3290 g/cm3,empirical: 111 pm,8433 m/s (at 20 °C),2.6 µm/(m·K) (at 25 °C),2.3×103 ?·m (at 20 °C),130–188 GPa,51–80 GPa,97.6 GPa,7,,0.064–0.28,,,,,,,,Antoine Lavoisier (1787),Jöns Jacob Berzelius (1823),,1.12 eV (at 300 K),,,,,,,,,
15,Phosphorus,P,"phosphorus, P","/?f?sf?r?s/, FOS-f?r-?s","colourless, waxy white, yellow, scarlet, red, violet, black",15,"group 15 (pnictogens), p-block",3,polyatomic nonmetal,30.973761998(5),[Ne] 3s2 3p3,"2, 8, 5",,solid,,,,,,,,white: 0.66 kJ/mol,,white: 23.824 J/(mol·K),"vapour pressure (red, b.p. 431 °C)



P (Pa)
1
10
100
1 k
10 k
100 k


at T (K)
455
489
529
576
635
704","5, 4, 3, 2, 1, ?1, ?2, ?3 (a mildly acidic oxide)",Pauling scale: 2.19,,107±3 pm,180 pm,body-centred cubic (bcc),,"white: 0.236 W/(m·K), black: 12.1 W/(m·K)","white, red, violet, black: diamagnetic","white: 12185-10-3, red: 7723-14-0",Hennig Brand (1669),,"iso, NA, half-life, DM, DE (MeV), DP, 31P, 100%, 31P is stable with 16 neutrons, 32P, trace, 14.28 d, ??, 1.709, 32S, 33P, trace, 25.3 d, ??, 0.249, 33S",455,,,"white: 1.823 g·cm?3, red: ? 2.2–2.34 g·cm?3, violet: 2.36 g·cm?3, black: 2.69 g/cm3",,,,,,,"white: 5 GPa, red: 11 GPa",,,,,,,,,white: 51.9 kJ/mol,"1st: 1011.8 kJ/mol, 2nd: 1907 kJ/mol, 3rd: 2914.1 kJ/mol, (more)",,,,,Antoine Lavoisier (1777),,,,,,,,
16,Sulfur,S,"sulfur, S","/?s?lf?r/, SUL-f?r",lemon yellow sintered microcrystals,16,"group 16 (chalcogens), p-block",3,polyatomic nonmetal,32.06 (32.059–32.076),[Ne] 3s2 3p4,"2, 8, 6",,solid,"388.36 K (115.21 °C, 239.38 °F)","717.8 K (444.6 °C, 832.3 °F)",,1.819 g/cm3,,,"1314 K, 20.7 MPa",mono: 1.727 kJ/mol,mono: 45 kJ/mol,22.75 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 375, 408, 449, 508, 591, 717","6, 5, 4, 3, 2, 1, ?1, ?2 (a strongly acidic oxide)",Pauling scale: 2.58,"1st: 999.6 kJ/mol, 2nd: 2252 kJ/mol, 3rd: 3357 kJ/mol, (more)",105±3 pm,180 pm,orthorhombic,,0.205 W/(m·K) (amorphous),diamagnetic,7704-34-9,Chinese (before 2000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 32S, 94.99%, 32S is stable with 16 neutrons, 33S, 0.75%, 33S is stable with 17 neutrons, 34S, 4.25%, 34S is stable with 18 neutrons, 35S, trace, 87.32 d, ??, 0.167, 35Cl, 36S, 0.01%, 36S is stable with 20 neutrons",375,,,"alpha: 2.07 g/cm3, beta: 1.96 g/cm3, gamma: 1.92 g/cm3",,,,2×1015  ?·m (at 20 °C) (amorphous),,,7.7 GPa,2,,,,,,,Antoine Lavoisier (1777),,,,,sulphur,,,,,,,,,,
17,Chlorine,Cl,"chlorine, Cl","/?kl??ri?n/ or /?kl??r?n/, KLOHR-een or KLOHR-?n",pale yellow-green gas,17,"group 17 (halogens), p-block",3,diatomic nonmetal,35.45 (35.446–35.457),[Ne] 3s2 3p5,"2, 8, 7",,gas,"171.6 K (?101.5 °C, ?150.7 °F)","239.11 K (?34.04 °C, ?29.27 °F)",3.2 g/L,,1.5625 g/cm3,,"416.9 K, 7.991 MPa",(Cl2) 6.406 kJ/mol,,"(Cl2), 33.949 J/(mol·K)","vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 128, 139, 153, 170, 197, 239","7, 6, 5, 4, 3, 2, 1, ?1 (a strongly acidic oxide)",Pauling scale: 3.16,,102±4 pm,175 pm,orthorhombic,"206 m/s (gas, at 0 °C)",8.9×10?3 W/(m·K),diamagnetic,7782-50-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 35Cl, 76%, 35Cl is stable with 18 neutrons, 36Cl, trace, 3.01×105 y, ??, 0.709, 36Ar, ?, –, 36S, 37Cl, 24%, 37Cl is stable with 20 neutrons",128,,,,,,,>10 ?·m (at 20 °C),,,,,,,,,,,Humphry Davy (1808),(Cl2) 20.41 kJ/mol,"1st: 1251.2 kJ/mol, 2nd: 2298 kJ/mol, 3rd: 3822 kJ/mol, (more)",,Carl Wilhelm Scheele (1774),,,,,,,,,,,
18,Argon,Ar,"argon, Ar","/???r??n/, AR-gon",colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,18,"group 18 (noble gases), p-block",3,noble gas,39.948(1),[Ne] 3s2 3p6,"2, 8, 8",,gas,"83.81 K (?189.34 °C, ?308.81 °F)","87.302 K (?185.848 °C, ?302.526 °F)",1.784 g/L,,1.3954 g/cm3,"83.8058 K, 68.89 kPa","150.687 K, 4.863 MPa",1.18 kJ/mol,6.53 kJ/mol,20.85 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 47, 53, 61, 71, 87",0,Pauling scale: no data,"1st: 1520.6 kJ/mol, 2nd: 2665.8 kJ/mol, 3rd: 3931 kJ/mol, (more)",106±10 pm,188 pm,face-centered cubic (fcc),"323 m/s (gas, at 27 °C)",17.72×10?3  W/(m·K),diamagnetic,7440-37-1,,,"iso, NA, half-life, DM, DE (MeV), DP, 36Ar, 0.334%, 36Ar is stable with 18 neutrons, 37Ar, syn, 35 d, ?, 0.813, 37Cl, 38Ar, 0.063%, 38Ar is stable with 20 neutrons, 39Ar, trace, 269 y, ??, 0.565, 39K, 40Ar, 99.604%, 40Ar is stable with 22 neutrons, 41Ar, syn, 109.34 min, ??, 2.49, 41K, 42Ar, syn, 32.9 y, ??, 0.600, 42K",,,,,,,,,,,,,,,,,,,,,,,Lord Rayleigh and William Ramsay (1894),,,,,,,,,,,
19,Potassium,K,"potassium, K","/po??tæsi?m/, po-TAS-ee-?m",silvery gray,19,"group 1 (alkali metals), s-block",4,alkali metal,39.0983(1),[Ar] 4s1,"2, 8, 8, 1",,solid,"336.7 K (63.5 °C, 146.3 °F)","1032 K (759 °C, 1398 °F)",,0.828 g/cm3,,,"2223 K, 16 MPa",2.33 kJ/mol,76.9 kJ/mol,29.6 J/(mol·K),,"+1, ?1 (a strongly basic oxide)",Pauling scale: 0.82,"1st: 418.8 kJ/mol, 2nd: 3052 kJ/mol, 3rd: 4420 kJ/mol, (more)",203±12 pm,275 pm,body-centered cubic (bcc),,102.5 W/(m·K),paramagnetic,7440-09-7,,,"iso, NA, half-life, DM, DE (MeV), DP, 39K, 93.258%, 39K is stable with 20 neutrons, 40K, 0.012%, 1.248(3)×109 y, ??, 1.311, 40Ca, ?, 1.505, 40Ar, ?+, 1.505, 40Ar, 41K, 6.730%, 41K is stable with 22 neutrons",,,,0.862 g/cm3,empirical: 227 pm,2000 m/s (at 20 °C),83.3 µm/(m·K) (at 25 °C),72 n?·m (at 20 °C),3.53 GPa,1.3 GPa,3.1 GPa,0.4,0.363 MPa,,,,,,,,,,Humphry Davy (1807),,,,,,,,,,,
20,Calcium,Ca,"calcium, Ca","/?kælsi?m/, KAL-see-?m","dull gray, silver; with a pale yellow tint",20,"group 2 (alkaline earth metals), s-block",4,alkaline earth metal,40.078(4),[Ar] 4s2,"2, 8, 8, 2",,solid,"1115 K (842 °C, 1548 °F)","1757 K (1484 °C, 2703 °F)",,1.378 g/cm3,,,,8.54 kJ/mol,154.7 kJ/mol,25.929 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 864, 956, 1071, 1227, 1443, 1755","+2, +1 (a strongly basic oxide)",Pauling scale: 1.00,"1st: 589.8 kJ/mol, 2nd: 1145.4 kJ/mol, 3rd: 4912.4 kJ/mol, (more)",176±10 pm,231 pm,face-centered cubic (fcc),,201 W/(m·K),diamagnetic,7440-70-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


40Ca
96.941%
40Ca is stable with 20 neutrons


41Ca
trace
1.03×105 y
?
–
41K


42Ca
0.647%
42Ca is stable with 22 neutrons


43Ca
0.135%
43Ca is stable with 23 neutrons


44Ca
2.086%
44Ca is stable with 24 neutrons


45Ca
syn
162.7 d
??
0.258
45Sc


46Ca
0.004%
46Ca is stable with 26 neutrons


47Ca
syn
4.536 d
??
0.694, 1.99
47Sc


?
1.297
–


48Ca
0.187%
4.3×1019 y
????
4.274
48Ti",864,,,1.55 g/cm3,empirical: 197 pm,3810 m/s (at 20 °C),22.3 µm/(m·K) (at 25 °C),33.6 n?·m (at 20 °C),20 GPa,7.4 GPa,17 GPa,1.75,170–416 MPa,0.31,,,,,,,,,Humphry Davy (1808),,,,,,,,,,,
21,Scandium,Sc,"scandium, Sc","/?skændi?m/, SKAN-dee-?m",silvery white,21,"group 3, d-block",4,transition metal,44.955908(5),[Ar] 3d1 4s2,"2, 8, 9, 2",,solid,"1814 K (1541 °C, 2806 °F)","3109 K (2836 °C, 5136 °F)",,2.80 g/cm3,,,,14.1 kJ/mol,332.7 kJ/mol,25.52 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1645, 1804, (2006), (2266), (2613), (3101)","3, 2, 1 (an amphoteric oxide)",Pauling scale: 1.36,"1st: 633.1 kJ/mol, 2nd: 1235.0 kJ/mol, 3rd: 2388.6 kJ/mol, (more)",170±7 pm,211 pm,hexagonal close-packed (hcp),,15.8 W/(m·K),paramagnetic,7440-20-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


44m2Sc
syn
58.61 h
IT
0.2709
44Sc


?
1.0, 1.1, 1.1
44Sc


?
–
44Ca


45Sc
100%
45Sc is stable with 24 neutrons


46Sc
syn
83.79 d
??
0.3569
46Ti


?
0.889, 1.120
–


47Sc
syn
3.3492 d
??
0.44, 0.60
47Ti


?
0.159
–


48Sc
syn
43.67 h
??
0.661
48Ti


?
0.9, 1.3, 1.0
–",1645,after Scandinavia,,2.985 g/cm3,empirical: 162 pm,,"?, poly: 10.2 µm/(m·K) (at r.t.)","?, poly: 562 n?·m (at r.t., calculated)",74.4 GPa,29.1 GPa,56.6 GPa,,736–1200 MPa,0.279,,,,,,,,Dmitri Mendeleev (1871),Lars Fredrik Nilson (1879),,,,,,,,,,,
22,Titanium,Ti,"titanium, Ti","/ta??te?ni?m/, ty-TAY-nee-?m",silvery grey-white metallic,22,"group 4, d-block",4,transition metal,47.867(1),[Ar] 3d2 4s2,"2, 8, 10, 2",,solid,"1941 K (1668 °C, 3034 °F)","3560 K (3287 °C, 5949 °F)",,4.11 g/cm3,,,,14.15 kJ/mol,425 kJ/mol,25.060 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1982, 2171, (2403), 2692, 3064, 3558","4, 3, 2, 1, ?1, ?2 (an amphoteric oxide)",Pauling scale: 1.54,"1st: 658.8 kJ/mol, 2nd: 1309.8 kJ/mol, 3rd: 2652.5 kJ/mol, (more)",160±8 pm,,hexagonal close-packed (hcp),,21.9 W/(m·K),paramagnetic,7440-32-6,William Gregor (1791),Martin Heinrich Klaproth (1795),"iso
NA
half-life
DM
DE (MeV)
DP


44Ti
syn
63 y
?
–
44Sc


?
0.07D, 0.08D
–


46Ti
8.25%
46Ti is stable with 24 neutrons


47Ti
7.44%
47Ti is stable with 25 neutrons


48Ti
73.72%
48Ti is stable with 26 neutrons


49Ti
5.41%
49Ti is stable with 27 neutrons


50Ti
5.18%
50Ti is stable with 28 neutrons",1982,,Jöns Jakob Berzelius (1825),4.506 g/cm3,empirical: 147 pm,5090 m/s (at r.t.),8.6 µm/(m·K) (at 25 °C),420 n?·m (at 20 °C),116 GPa,44 GPa,110 GPa,6,716–2770 MPa,0.32,830–3420 MPa,,,,,,,,,,,,,,,,,,,
23,Vanadium,V,"vanadium, V","/v??ne?di?m/, v?-NAY-dee-?m",blue-silver-grey metal,23,"group 5, d-block",4,transition metal,50.9415(1),[Ar] 3d3 4s2,"2, 8, 11, 2",,solid,"2183 K (1910 °C, 3470 °F)","3680 K (3407 °C, 6165 °F)",,5.5 g/cm3,,,,21.5 kJ/mol,444 kJ/mol,24.89 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2101, 2289, 2523, 2814, 3187, 3679","5, 4, 3, 2, 1, ?1, ?3 (an amphoteric oxide)",Pauling scale: 1.63,"1st: 650.9 kJ/mol, 2nd: 1414 kJ/mol, 3rd: 2830 kJ/mol, (more)",153±8 pm,,body-centered cubic (bcc),,30.7 W/(m·K),paramagnetic,7440-62-2,Andrés Manuel del Río (1801),Nils Gabriel Sefström (1830),"iso, NA, half-life, DM, DE (MeV), DP, 48V, syn, 15.9735 d, ?+, 4.0123, 48Ti, 49V, syn, 330 d, ?, 0.6019, 49Ti, 50V, 0.25%, 1.5×1017 y, ?, 2.2083, 50Ti, ??, 1.0369, 50Cr, 51V, 99.75%, 51V is stable with 28 neutrons",2101,,Nils Gabriel Sefström (1830),6.0 g/cm3,empirical: 134 pm,4560 m/s (at 20 °C),8.4 µm/(m·K) (at 25 °C),197 n?·m (at 20 °C),128 GPa,47 GPa,160 GPa,6.7,600–742 MPa,0.37,628–640 MPa,,,,,,,,,,,,,,,,,,,
24,Chromium,Cr,"chromium, Cr","/?kro?mi?m/, KROH-mee-?m",silvery metallic,24,"group 6, d-block",4,transition metal,51.9961(6),[Ar] 3d5 4s1,"2, 8, 13, 1",,solid,"2180 K (1907 °C, 3465 °F)","2944 K (2671 °C, 4840 °F)",,6.3 g/cm3,,,,21.0 kJ/mol,347 kJ/mol,23.35 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1656, 1807, 1991, 2223, 2530, 2942","6, 5, 4, 3, 2, 1, ?1, ?2, ?4 (depending on the oxidation state, an acidic, basic, or amphoteric oxide)",Pauling scale: 1.66,"1st: 652.9 kJ/mol, 2nd: 1590.6 kJ/mol, 3rd: 2987 kJ/mol, (more)",139±5 pm,,body-centered cubic (bcc),,93.9 W/(m·K),antiferromagnetic (rather: SDW),7440-47-3,,,"iso, NA, half-life, DM, DE (MeV), DP, 50Cr, 4.345%, 50Cr is stable with 26 neutrons, 51Cr, syn, 27.7025 d, ?, –, 51V, ?, 0.320, –, 52Cr, 83.789%, 52Cr is stable with 28 neutrons, 53Cr, 9.501%, 53Cr is stable with 29 neutrons, 54Cr, 2.365%, 54Cr is stable with 30 neutrons",1656,,,7.19 g/cm3,empirical: 128 pm,5940 m/s (at 20 °C),4.9 µm/(m·K) (at 25 °C),125 n?·m (at 20 °C),279 GPa,115 GPa,160 GPa,,687–6500 MPa,0.21,1060 MPa,,,,,,,,"Louis Nicolas Vauquelin (1797, 1798)",,,,,,,,,,,
25,Manganese,Mn,"manganese, Mn","/?mæ???ni?z/, MANG-g?-neez",silvery metallic,25,"group 7, d-block",4,transition metal,54.938044(3),[Ar] 3d5 4s2,"2, 8, 13, 2",,solid,"1519 K (1246 °C, 2275 °F)","2334 K (2061 °C, 3742 °F)",,5.95 g/cm3,,,,12.91 kJ/mol,221 kJ/mol,26.32 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1228, 1347, 1493, 1691, 1955, 2333","7, 6, 5, 4, 3, 2, 1, ?1, ?2, ?3 acidic, basic or amphoteric; depending on the oxidation state",Pauling scale: 1.55,"1st: 717.3 kJ/mol, 2nd: 1509.0 kJ/mol, 3rd: 3248 kJ/mol, (more)","Low spin: 139±5 pm, High spin: 161±8 pm",,body-centered cubic (bcc),,7.81 W/(m·K),paramagnetic,7439-96-5,Torbern Olof Bergman (1770),,"iso
NA
half-life
DM
DE (MeV)
DP


52Mn
syn
5.591 d
?
–
52Cr


?+
0.575
52Cr


?
0.7, 0.9, 1.4
–


53Mn
trace
3.74×106 y
?
–
53Cr


54Mn
syn
312.3 d
?
1.377
54Cr


?
0.834
–


55Mn
100%
55Mn is stable with 30 neutrons",1228,,Johann Gottlieb Gahn (1774),7.21 g/cm3,empirical: 127 pm,5150 m/s (at 20 °C),21.7 µm/(m·K) (at 25 °C),1.44 µ?·m (at 20 °C),198 GPa,,120 GPa,6,196 MPa,,,,,,,,,,,,,,,,,,,,,
26,Iron,Fe,"iron, Fe","/?a?.?rn/, EYE-urn",lustrous metallic with a grayish tinge,26,"group 8, d-block",4,transition metal,55.845(2),[Ar] 3d6 4s2,"2, 8, 14, 2",,solid,"1811 K (1538 °C, 2800 °F)","3134 K (2862 °C, 5182 °F)",,6.98 g/cm3,,,,13.81 kJ/mol,340 kJ/mol,25.10 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1728, 1890, 2091, 2346, 2679, 3132","?4, ?2, ?1, +1, +2, +3, +4, +5, +6 (an amphoteric oxide)",Pauling scale: 1.83,"1st: 762.5 kJ/mol, 2nd: 1561.9 kJ/mol, 3rd: 2957 kJ/mol, (more)","Low spin: 132±3 pm, High spin: 152±6 pm",,"face-centered cubic (fcc), between 1185–1667 K",,80.4 W/(m·K),ferromagnetic,7439-89-6,before 5000 BC,,"iso, NA, half-life, DM, DE (MeV), DP, 54Fe, 5.85%, 54Fe is stable with 28 neutrons, 55Fe, syn, 2.73 y, ?, 0.231, 55Mn, 56Fe, 91.75%, 56Fe is stable with 30 neutrons, 57Fe, 2.12%, 57Fe is stable with 31 neutrons, 58Fe, 0.28%, 58Fe is stable with 32 neutrons, 59Fe, syn, 44.503 d, ??, 1.565, 59Co, 60Fe, syn, 2.6×106 y, ??, 3.978, 60Co",1728,,,7.874 g/cm3,empirical: 126 pm,5120 m/s (at r.t.) (electrolytic),11.8 µm/(m·K) (at 25 °C),96.1 n?·m (at 20 °C),211 GPa,82 GPa,170 GPa,4,200–1180 MPa,0.29,608 MPa,,,,,,,,,,,,1043 K,,,,,,,
27,Cobalt,Co,"cobalt, Co","/?ko?b?lt/, KOH-bahlt",hard lustrous bluish gray metal,27,"group 9, d-block",4,transition metal,58.933194(4),[Ar] 3d7 4s2,"2, 8, 15, 2",metallic gray,solid,"1768 K (1495 °C, 2723 °F)","3200 K (2927 °C, 5301 °F)",,8.86 g/cm3,,,,16.06 kJ/mol,377 kJ/mol,24.81 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1790, 1960, 2165, 2423, 2755, 3198","?3, ?1, +1, +2, +3, +4, +5 (an amphoteric oxide)",Pauling scale: 1.88,"1st: 760.4 kJ/mol, 2nd: 1648 kJ/mol, 3rd: 3232 kJ/mol, (more)","Low spin: 126±3 pm, High spin: 150±7 pm",,hexagonal close-packed (hcp),,100 W/(m·K),ferromagnetic,7440-48-4,Georg Brandt (1732),,"iso
NA
half-life
DM
DE (MeV)
DP


56Co
syn
77.27 d
?
4.566
56Fe


57Co
syn
271.79 d
?
0.836
57Fe


58Co
syn
70.86 d
?
2.307
58Fe


59Co
100%
59Co is stable with 32 neutrons


60Co
syn
5.2714 y
??, ?
2.824
60Ni",1790,,,8.90 g/cm3,empirical: 125 pm,4720 m/s (at 20 °C),13.0 µm/(m·K) (at 25 °C),62.4 n?·m (at 20 °C),209 GPa,75 GPa,180 GPa,5,470–3000 MPa,0.31,1043 MPa,,,,,,,,,,,,,,,,,,,
28,Nickel,Ni,"nickel, Ni","/?n?k?l/, NIK-?l","lustrous, metallic, and silver with a gold tinge",28,"group 10, d-block",4,transition metal,58.6934(4),"[Ar] 3d8 4s2 or, [Ar] 3d9 4s1","2, 8, 16, 2 or 2, 8, 17, 1",,solid,"1728 K (1455 °C, 2651 °F)","3003 K (2730 °C, 4946 °F)",,7.81 g/cm3,,,,17.48 kJ/mol,379 kJ/mol,26.07 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1783, 1950, 2154, 2410, 2741, 3184","4, 3, 2, 1, ?1, ?2 (a mildly basic oxide)",Pauling scale: 1.91,"1st: 737.1 kJ/mol, 2nd: 1753.0 kJ/mol, 3rd: 3395 kJ/mol, (more)",124±4 pm,163 pm,face-centered cubic (fcc),,90.9 W/(m·K),ferromagnetic,7440-02-0,,,"iso, NA, half-life, DM, DE (MeV), DP, 58Ni, 68.077%, 58Ni is stable with 30 neutrons, 59Ni, trace, 7.6×104 y, ?, 0.0506, 59Co, 60Ni, 26.223%, 60Ni is stable with 32 neutrons, 61Ni, 1.140%, 61Ni is stable with 33 neutrons, 62Ni, 3.635%, 62Ni is stable with 34 neutrons, 63Ni, syn, 100.1 y, ??, 0.0669, 63Cu, 64Ni, 0.926%, 64Ni is stable with 36 neutrons",1783,,,8.908 g/cm3,empirical: 124 pm,4900 m/s (at r.t.),13.4 µm/(m·K) (at 25 °C),69.3 n?·m (at 20 °C),200 GPa,76 GPa,180 GPa,4,667–1600 MPa,0.31,638 MPa,,,,,,,,Axel Fredrik Cronstedt (1751),,,,,,,,,,,
